n_waypoints,n_aerial,n_ground,aerial_speed,ground_speed,aerial_max_time,ground_max_time,aerial_inspection_time,ground_inspection_time,solve_time,status,objective_value,aerial_used,ground_used,aerial_avg_distance,ground_avg_distance,aerial_avg_time,ground_avg_time
5,1,1,5.0,2.0,30.0,60.0,1.0,3.0,0.03760862350463867,optimal,1.0,1,1,127.71429075730511,101.0077529452444,26.542858151461022,53.5038764726222
5,1,2,5.0,2.0,30.0,60.0,1.0,3.0,0.03473091125488281,optimal,1.0,1,1,127.69310147037633,72.61508598543702,26.538620294075265,39.30754299271851
5,1,3,5.0,2.0,30.0,60.0,1.0,3.0,0.03672337532043457,optimal,0.0,0,0,0.0,0.0,0.0,0.0
5,2,1,5.0,2.0,30.0,60.0,1.0,3.0,0.01784682273864746,optimal,1.0,1,1,141.0532424273055,61.92951262377492,29.2106484854611,33.964756311887456
5,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.06205105781555176,optimal,2.0,2,2,141.9241808217608,76.17188717893329,29.384836164352166,41.085943589466645
5,2,3,5.0,2.0,30.0,60.0,1.0,3.0,0.07194757461547852,optimal,0.0,1,0,104.54126056237165,0.0,21.90825211247433,0.0
5,3,1,5.0,2.0,30.0,60.0,1.0,3.0,0.04643082618713379,optimal,0.0,0,0,0.0,0.0,0.0,0.0
5,3,2,5.0,2.0,30.0,60.0,1.0,3.0,0.08712267875671387,optimal,1.0,1,1,143.16650673229103,68.6342827356244,29.633301346458204,37.3171413678122
5,3,3,5.0,2.0,30.0,60.0,1.0,3.0,0.1477057933807373,optimal,1.0,1,1,119.80646232775293,91.44368826353332,24.961292465550585,48.72184413176666
10,1,1,5.0,2.0,30.0,60.0,1.0,3.0,0.04871416091918945,optimal,1.0,1,1,136.7332522512975,104.44151015325994,28.3466504502595,55.22075507662997
10,1,2,5.0,2.0,30.0,60.0,1.0,3.0,0.04974484443664551,optimal,0.0,1,0,77.35034456294366,0.0,16.470068912588733,0.0
10,1,3,5.0,2.0,30.0,60.0,1.0,3.0,0.07285547256469727,optimal,1.0,1,1,132.6709970358444,70.89768653635042,27.53419940716888,38.44884326817521
10,2,1,5.0,2.0,30.0,60.0,1.0,3.0,0.039733171463012695,optimal,0.0,1,0,75.2590177660165,0.0,16.0518035532033,0.0
10,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.10260200500488281,optimal,2.0,2,2,128.50343875735692,75.00329469721308,26.700687751471385,40.50164734860654
10,2,3,5.0,2.0,30.0,60.0,1.0,3.0,0.06876492500305176,optimal,0.0,1,0,53.507243485287155,0.0,11.701448697057431,0.0
10,3,1,5.0,2.0,30.0,60.0,1.0,3.0,0.11972236633300781,optimal,1.0,3,1,121.250757457262,58.77128203321868,25.2501514914524,32.38564101660934
10,3,2,5.0,2.0,30.0,60.0,1.0,3.0,0.14341521263122559,optimal,1.0,1,1,99.15515671444449,113.65915564325036,20.8310313428889,59.82957782162518
10,3,3,5.0,2.0,30.0,60.0,1.0,3.0,0.1898970603942871,optimal,2.0,3,2,94.05815305743185,109.30748832219604,19.81163061148637,57.65374416109802
15,1,1,5.0,2.0,30.0,60.0,1.0,3.0,0.0689089298248291,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,1,2,5.0,2.0,30.0,60.0,1.0,3.0,0.11837506294250488,optimal,0.0,1,0,138.63048158771198,0.0,28.726096317542396,0.0
15,1,3,5.0,2.0,30.0,60.0,1.0,3.0,0.09278225898742676,optimal,0.0,1,0,71.81346696528374,0.0,16.362693393056748,0.0
15,2,1,5.0,2.0,30.0,60.0,1.0,3.0,0.16756057739257812,optimal,1.0,2,1,123.49339885390575,81.22432830927103,25.698679770781148,43.612164154635515
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.12982845306396484,optimal,1.0,2,1,92.53987023905373,86.65643551789253,19.507974047810745,46.328217758946266
15,2,3,5.0,2.0,30.0,60.0,1.0,3.0,0.16963553428649902,optimal,2.0,2,2,117.7486395623632,96.63412491335748,24.54972791247264,51.31706245667874
15,3,1,5.0,2.0,30.0,60.0,1.0,3.0,0.14055466651916504,optimal,1.0,2,1,93.70065042137385,113.1094196736122,19.740130084274767,59.5547098368061
15,3,2,5.0,2.0,30.0,60.0,1.0,3.0,0.17326045036315918,optimal,2.0,3,2,104.20205500157259,90.48958263575133,21.840411000314518,48.244791317875666
15,3,3,5.0,2.0,30.0,60.0,1.0,3.0,0.21746373176574707,optimal,0.0,1,0,64.36214608761377,0.0,13.872429217522754,0.0
20,1,1,5.0,2.0,30.0,60.0,1.0,3.0,0.05637955665588379,optimal,1.0,1,1,142.0422754687482,59.642616890975376,29.408455093749637,32.82130844548769
20,1,2,5.0,2.0,30.0,60.0,1.0,3.0,0.1875615119934082,optimal,1.0,1,1,144.87059599317942,59.49264261052788,29.974119198635883,32.74632130526394
20,1,3,5.0,2.0,30.0,60.0,1.0,3.0,0.08541274070739746,optimal,0.0,0,0,0.0,0.0,0.0,0.0
20,2,1,5.0,2.0,30.0,60.0,1.0,3.0,0.1924421787261963,optimal,1.0,2,1,126.81387268088963,69.63873921707201,26.362774536177927,37.81936960853601
20,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.5570831298828125,optimal,2.0,2,2,104.33028258879244,105.20426310204917,21.866056517758487,55.602131551024584
20,2,3,5.0,2.0,30.0,60.0,1.0,3.0,0.7831254005432129,optimal,2.0,2,2,104.95340431937264,105.23876933581849,21.990680863874527,55.619384667909245
20,3,1,5.0,2.0,30.0,60.0,1.0,3.0,0.06747698783874512,optimal,0.0,0,0,0.0,0.0,0.0,0.0
20,3,2,5.0,2.0,30.0,60.0,1.0,3.0,0.18915200233459473,optimal,2.0,3,2,100.15476545706463,96.13992273950595,21.030953091412925,51.069961369752974
20,3,3,5.0,2.0,30.0,60.0,1.0,3.0,0.21814727783203125,optimal,0.0,1,0,119.94497828283004,0.0,24.988995656566008,0.0
25,1,1,5.0,2.0,30.0,60.0,1.0,3.0,0.07198715209960938,optimal,1.0,1,1,142.34927334396522,58.07875982255683,29.469854668793044,32.03937991127842
25,1,2,5.0,2.0,30.0,60.0,1.0,3.0,0.25847601890563965,optimal,1.0,1,1,112.43442671873393,96.63502396607453,24.486885343746785,51.317511983037264
25,1,3,5.0,2.0,30.0,60.0,1.0,3.0,0.15430736541748047,optimal,0.0,0,0,0.0,0.0,0.0,0.0
25,2,1,5.0,2.0,30.0,60.0,1.0,3.0,0.1471540927886963,optimal,0.0,0,0,0.0,0.0,0.0,0.0
25,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.2014310359954834,optimal,0.0,1,0,66.87715844883509,0.0,14.375431689767018,0.0
25,2,3,5.0,2.0,30.0,60.0,1.0,3.0,0.700791597366333,optimal,2.0,2,2,117.3358944218989,86.1621525968414,24.46717888437978,46.0810762984207
25,3,1,5.0,2.0,30.0,60.0,1.0,3.0,0.16497492790222168,optimal,1.0,3,1,113.1349598712967,108.77035227096691,23.62699197425934,57.385176135483455
25,3,2,5.0,2.0,30.0,60.0,1.0,3.0,0.3316373825073242,optimal,2.0,3,2,101.52786670166348,79.59955774111505,21.3055733403327,42.799778870557525
25,3,3,5.0,2.0,30.0,60.0,1.0,3.0,0.33081603050231934,optimal,0.0,1,0,80.32822171836453,0.0,18.065644343672908,0.0
